"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"15/12/2023","18,700.0","19,000.0","19,100.0","18,650.0","12.09M","-1.58%"
"14/12/2023","19,000.0","19,200.0","19,300.0","18,950.0","9.43M","-1.04%"
"13/12/2023","19,200.0","19,350.0","19,400.0","19,100.0","9.96M","-1.29%"
"12/12/2023","19,450.0","19,400.0","19,450.0","19,200.0","6.82M","0.26%"
"11/12/2023","19,400.0","19,500.0","19,600.0","19,200.0","7.68M","-1.02%"
"08/12/2023","19,600.0","19,650.0","19,700.0","19,300.0","8.34M","-0.25%"
"07/12/2023","19,650.0","19,400.0","19,650.0","19,150.0","17.16M","1.29%"
"06/12/2023","19,400.0","19,250.0","19,450.0","19,150.0","9.47M","1.31%"
"05/12/2023","19,150.0","19,500.0","19,550.0","19,150.0","11.51M","-1.79%"
"04/12/2023","19,500.0","19,300.0","19,600.0","19,250.0","10.85M","1.04%"
"01/12/2023","19,300.0","19,200.0","19,350.0","19,050.0","4.87M","1.05%"
"30/11/2023","19,100.0","19,200.0","19,450.0","19,100.0","6.75M","-0.78%"
"29/11/2023","19,250.0","19,400.0","19,400.0","19,250.0","5.48M","-0.52%"
"28/11/2023","19,350.0","19,200.0","19,450.0","19,050.0","5.75M","0.78%"
"27/11/2023","19,200.0","19,250.0","19,450.0","19,150.0","8.01M","0.00%"
"24/11/2023","19,200.0","19,150.0","19,400.0","19,000.0","10.85M","0.26%"
"23/11/2023","19,150.0","19,700.0","19,750.0","19,150.0","10.60M","-2.54%"
"22/11/2023","19,650.0","19,650.0","19,750.0","19,400.0","7.32M","0.00%"
"21/11/2023","19,650.0","19,600.0","19,900.0","19,500.0","8.68M","0.77%"
"20/11/2023","19,500.0","18,900.0","19,900.0","18,850.0","11.87M","1.04%"
"17/11/2023","19,300.0","20,000.0","20,000.0","19,000.0","15.20M","-3.02%"
"16/11/2023","19,900.0","19,750.0","20,000.0","19,750.0","9.90M","-0.25%"
"15/11/2023","19,950.0","19,900.0","20,150.0","19,800.0","17.93M","1.79%"
"14/11/2023","19,600.0","19,400.0","20,000.0","19,300.0","12.70M","2.08%"
"13/11/2023","19,200.0","19,550.0","19,700.0","19,050.0","10.47M","-1.79%"
"10/11/2023","19,550.0","19,900.0","19,900.0","19,550.0","12.16M","-2.25%"
"09/11/2023","20,000.0","20,500.0","20,550.0","20,000.0","13.60M","-6.32%"
"08/11/2023","21,350.0","20,800.0","21,350.0","20,600.0","13.58M","3.14%"
"07/11/2023","20,700.0","20,900.0","21,100.0","20,700.0","6.34M","-0.48%"
"06/11/2023","20,800.0","20,200.0","20,850.0","20,200.0","9.58M","5.05%"
"03/11/2023","19,800.0","20,450.0","20,500.0","19,800.0","13.53M","-2.46%"
"02/11/2023","20,300.0","19,950.0","20,400.0","19,850.0","6.16M","2.53%"
"01/11/2023","19,800.0","20,000.0","20,100.0","19,800.0","4.81M","-1.00%"
"31/10/2023","20,000.0","19,800.0","20,050.0","19,550.0","6.94M","0.50%"
"30/10/2023","19,900.0","20,000.0","20,150.0","19,800.0","4.92M","-1.49%"
"27/10/2023","20,200.0","20,200.0","20,500.0","19,900.0","5.69M","0.00%"
"26/10/2023","20,200.0","20,700.0","20,850.0","19,550.0","17.36M","-3.81%"
"25/10/2023","21,000.0","21,050.0","21,250.0","20,900.0","5.16M","-0.24%"
"24/10/2023","21,050.0","20,850.0","21,400.0","20,850.0","5.47M","0.00%"
